评论者昵称,评论者id,性别,地区,评论内容,评论时间,评论等级
半个西瓜,c78f61bcc95537c93c6a8819fc0638a3,男,四川,最早以为小红书是安利化妆品护肤品的，我徒步经常去网上搜实时的线路路况，最后发现小红书发的人最多，用了小红书才发现各种大胸翘臀美腿,2024-01-03 20:00:34,父级评论
独立女性吖,6abb38639f4a68d1511101607c7665a7,女,四川,<p>花几个小时学学p图，自己当菩萨</p>,2024-01-04 00:22:58,父级评论
芜湖,9718295ee6189085de1dd0861d1c2599,男,江苏,<p>我要是自己普度众生，要菩萨干什么[doge][doge]</p>,2024-01-04 01:47:58,父级评论
白桃汽水.Kris,5a356673013682b30528b9f5be968cc4,男,四川,尺度还没抖音大，还不如看抖音擦边[doge],2024-01-04 01:55:00,父级评论
Batman布鲁斯韦恩,3b078187706690582c05c77a036a9c1a,男,广东,<p>如今的时代，那点尺度也叫菩萨？建议以这个标准凡是没掰开洞洞的都不能算真菩萨</p>,2024-01-04 02:14:34,父级评论
骑马入梦来,41d6c7cf3c1dcb0d0be4ac658dc04f84,未知,河北,<p>妈的，小红手好恶毒的商战，现在我不得不下载了[生气]</p>,2024-01-04 02:37:49,父级评论
王卡卡,3bb552000d60474207a3821c4bd84c2f,男,浙江,<p>X太荤了，要荤素搭配</p>,2024-01-04 03:20:38,父级评论
天天看地图,e439261a9c686933a28b72b55cdd3cb7,女,上海,磨出老茧,2024-01-04 03:42:56,父级评论
闪现晕假猴,0d0a9976894abd521b0120420a4e0f51,未知,中国台湾,<p>尺度大了嫌不是动图，动图了又嫌时长太短，时间长了该嫌不如线下有意思</p>,2024-01-04 10:17:51,父级评论
紫川修,0a3ced0df6b6d25cace4555d7db92774,男,上海,<p>OOTD的意思是嗷嗷脱掉吗</p><p></p>,2024-01-04 05:16:59,父级评论
dick,297c4f712c52489d12328a677f5d63f7,未知,辽宁,<p>每日穿搭</p>,2024-01-16 06:29:21,子级评论
电气狗啦,361f4439abd7d286ef3f7199b77300dc,女,江苏,<p>我也想问的</p>,2024-01-17 04:43:09,子级评论
君临,cf2051a9626f96b4b08b1b50dce759bd,未知,北京,<p>尺度太小没什么意思</p>,2024-01-04 04:12:50,父级评论
闪现晕假猴,0d0a9976894abd521b0120420a4e0f51,未知,中国台湾,<p>尺度大了嫌不是动图，动图了又嫌时长太短，时间长了该嫌不如线下有意思</p>,2024-01-04 10:17:51,子级评论
Irelia,4a9e55559a72bff7a63458de4c475192,男,河南,确实不如小巷俏佳人,2024-01-04 11:25:19,子级评论
天地無用,e9fec7f5e5fb1858dc9e999d5c51e2b3,男,四川,不应该是小蓝鸟梗真实吗,2024-01-04 02:24:34,父级评论
王卡卡,3bb552000d60474207a3821c4bd84c2f,男,浙江,<p>X太荤了，要荤素搭配</p>,2024-01-04 03:20:38,子级评论
